Timestamp, Person#, Skeleton#, FOV#, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
635580175427445813, 0, 0, 0, -0.0894964, -0.8081882, 1.993004, 0.03745426, -0.8335196, 1.860158, -0.2196889, 0.0595682, 1.767273, 0.1129297, 0.01809865, 1.546458, -0.1260082, -0.8775905, 1.993511, -0.01006895, -0.8688994, 1.788808, -0.2420721, -0.1700975, 1.770832, 0.06297034, -0.1820663, 1.570931, -0.2434657, -0.2271788, 1.779116, 0.03524619, -0.2485807, 1.585817, -0.08982643, 0.4843249, 1.55583, -0.1365369, -0.1430239, 1.733834, -0.05264661, -0.1483443, 1.663476, -0.1101038, -0.4940872, 1.869096, 0.01217625, -0.5067204, 1.771766, -0.04341557, 0.3723965, 1.592761, -0.1888422, 0.2852421, 1.718913, 0.05481339, 0.2461873, 1.534116, -0.09630109, -0.1481614, 1.727762, -0.06982961, 0.1164743, 1.665702, -0.05000621, 0.3097112, 1.612825, -0.2151552, -0.1760802, 1.736771, 0.02447858, -0.1731054, 1.545055, -0.2403641, -0.136994, 1.775452, 0.07604481, -0.148842, 1.560885
635580175427726012, 0, 0, 0, -0.0894964, -0.8081882, 1.993004, 0.03745426, -0.8335196, 1.860158, -0.2196889, 0.0595682, 1.767273, 0.1129297, 0.01809865, 1.546458, -0.1260082, -0.8775905, 1.993511, -0.01006895, -0.8688994, 1.788808, -0.2420721, -0.1700975, 1.770832, 0.06297034, -0.1820663, 1.570931, -0.2434657, -0.2271788, 1.779116, 0.03524619, -0.2485807, 1.585817, -0.08982643, 0.4843249, 1.55583, -0.1365369, -0.1430239, 1.733834, -0.05264661, -0.1483443, 1.663476, -0.1101038, -0.4940872, 1.869096, 0.01217625, -0.5067204, 1.771766, -0.04341557, 0.3723965, 1.592761, -0.1888422, 0.2852421, 1.718913, 0.05481339, 0.2461873, 1.534116, -0.09630109, -0.1481614, 1.727762, -0.06982961, 0.1164743, 1.665702, -0.05000621, 0.3097112, 1.612825, -0.2151552, -0.1760802, 1.736771, 0.02447858, -0.1731054, 1.545055, -0.2403641, -0.136994, 1.775452, 0.07604481, -0.148842, 1.560885
635580175427575900, 0, 0, 0, -0.0894964, -0.8081882, 1.993004, 0.03745426, -0.8335196, 1.860158, -0.2196889, 0.0595682, 1.767273, 0.1129297, 0.01809865, 1.546458, -0.1260082, -0.8775905, 1.993511, -0.01006895, -0.8688994, 1.788808, -0.2420721, -0.1700975, 1.770832, 0.06297034, -0.1820663, 1.570931, -0.2434657, -0.2271788, 1.779116, 0.03524619, -0.2485807, 1.585817, -0.08982643, 0.4843249, 1.55583, -0.1365369, -0.1430239, 1.733834, -0.05264661, -0.1483443, 1.663476, -0.1101038, -0.4940872, 1.869096, 0.01217625, -0.5067204, 1.771766, -0.04341557, 0.3723965, 1.592761, -0.1888422, 0.2852421, 1.718913, 0.05481339, 0.2461873, 1.534116, -0.09630109, -0.1481614, 1.727762, -0.06982961, 0.1164743, 1.665702, -0.05000621, 0.3097112, 1.612825, -0.2151552, -0.1760802, 1.736771, 0.02447858, -0.1731054, 1.545055, -0.2403641, -0.136994, 1.775452, 0.07604481, -0.148842, 1.560885
635580175427996201, 0, 0, 0, -0.08746692, -0.8077474, 1.993916, 0.03748368, -0.8335363, 1.86017, -0.219457, 0.05945285, 1.767353, 0.1131335, 0.01813729, 1.54651, -0.1259381, -0.876579, 1.993346, -0.01003544, -0.8689222, 1.788819, -0.2432964, -0.1708453, 1.771361, 0.06315108, -0.1820672, 1.570756, -0.2446964, -0.2245824, 1.780659, 0.03669514, -0.2491865, 1.589164, -0.08969072, 0.4842733, 1.555985, -0.1360977, -0.1430636, 1.734211, -0.05233705, -0.1482376, 1.663717, -0.1132584, -0.4935412, 1.87107, 0.012352, -0.5067069, 1.771839, -0.04317164, 0.3724123, 1.592932, -0.1888621, 0.2851856, 1.719073, 0.05495892, 0.2462094, 1.534159, -0.09592037, -0.1481215, 1.728066, -0.06950706, 0.1164982, 1.665939, -0.04974142, 0.3097286, 1.613013, -0.2182101, -0.1721025, 1.734734, 0.02652197, -0.1707267, 1.546253, -0.2395113, -0.1389027, 1.774856, 0.07654007, -0.1488446, 1.561085
635580175428036230, 0, 0, 0, -0.08746692, -0.8077474, 1.993916, 0.03748368, -0.8335363, 1.86017, -0.219457, 0.05945285, 1.767353, 0.1131335, 0.01813729, 1.54651, -0.1259381, -0.876579, 1.993346, -0.01003544, -0.8689222, 1.788819, -0.2432964, -0.1708453, 1.771361, 0.06315108, -0.1820672, 1.570756, -0.2446964, -0.2245824, 1.780659, 0.03669514, -0.2491865, 1.589164, -0.08969072, 0.4842733, 1.555985, -0.1360977, -0.1430636, 1.734211, -0.05233705, -0.1482376, 1.663717, -0.1132584, -0.4935412, 1.87107, 0.012352, -0.5067069, 1.771839, -0.04317164, 0.3724123, 1.592932, -0.1888621, 0.2851856, 1.719073, 0.05495892, 0.2462094, 1.534159, -0.09592037, -0.1481215, 1.728066, -0.06950706, 0.1164982, 1.665939, -0.04974142, 0.3097286, 1.613013, -0.2182101, -0.1721025, 1.734734, 0.02652197, -0.1707267, 1.546253, -0.2395113, -0.1389027, 1.774856, 0.07654007, -0.1488446, 1.561085
635580175428176332, 0, 0, 0, -0.0879288, -0.8082414, 1.99353, 0.03631543, -0.8340567, 1.859192, -0.2192754, 0.05918546, 1.767427, 0.1135089, 0.01822786, 1.546744, -0.1240929, -0.8779191, 1.99369, -0.01119707, -0.8694206, 1.787865, -0.2418993, -0.1690797, 1.77034, 0.06343724, -0.1822707, 1.570566, -0.2456435, -0.2303647, 1.786344, 0.0376261, -0.249231, 1.589676, -0.08956947, 0.4842458, 1.556067, -0.1359914, -0.1430962, 1.734391, -0.05222489, -0.1482767, 1.663934, -0.1081821, -0.494449, 1.868876, 0.01261714, -0.5068585, 1.771713, -0.04291864, 0.3724447, 1.593011, -0.1886341, 0.2849274, 1.719212, 0.055135, 0.2462246, 1.534203, -0.09580456, -0.1481593, 1.728267, -0.06932882, 0.1164929, 1.666072, -0.04950881, 0.3097505, 1.613106, -0.215533, -0.1741781, 1.734825, 0.0258387, -0.172639, 1.546222, -0.239765, -0.1357204, 1.776915, 0.07697184, -0.1487724, 1.561282
635580175428246377, 0, 0, 0, -0.08744468, -0.8082397, 1.993688, 0.03637902, -0.8341132, 1.859165, -0.2191061, 0.05923226, 1.767508, 0.1139379, 0.01837987, 1.547225, -0.1228578, -0.8777655, 1.995275, -0.01114196, -0.8694688, 1.787859, -0.2411601, -0.168465, 1.770978, 0.06394623, -0.1820432, 1.571909, -0.2414305, -0.2237314, 1.77652, 0.03689809, -0.249129, 1.588837, -0.0894884, 0.4842736, 1.556331, -0.1357271, -0.1429725, 1.734777, -0.05206591, -0.1481861, 1.664262, -0.1059001, -0.4947946, 1.868019, 0.01268071, -0.5068639, 1.771851, -0.04275793, 0.3724743, 1.593229, -0.188277, 0.2849364, 1.719255, 0.05530353, 0.2462579, 1.534275, -0.09558669, -0.1480518, 1.728626, -0.0691302, 0.1165554, 1.66636, -0.0493372, 0.3097874, 1.613341, -0.2164888, -0.1700863, 1.734755, 0.0249635, -0.1762142, 1.545515, -0.2397588, -0.1357736, 1.776934, 0.07724191, -0.1486286, 1.561485
635580175428346451, 0, 0, 0, -0.08744468, -0.8082397, 1.993688, 0.03637902, -0.8341132, 1.859165, -0.2191061, 0.05923226, 1.767508, 0.1139379, 0.01837987, 1.547225, -0.1228578, -0.8777655, 1.995275, -0.01114196, -0.8694688, 1.787859, -0.2411601, -0.168465, 1.770978, 0.06394623, -0.1820432, 1.571909, -0.2414305, -0.2237314, 1.77652, 0.03689809, -0.249129, 1.588837, -0.0894884, 0.4842736, 1.556331, -0.1357271, -0.1429725, 1.734777, -0.05206591, -0.1481861, 1.664262, -0.1059001, -0.4947946, 1.868019, 0.01268071, -0.5068639, 1.771851, -0.04275793, 0.3724743, 1.593229, -0.188277, 0.2849364, 1.719255, 0.05530353, 0.2462579, 1.534275, -0.09558669, -0.1480518, 1.728626, -0.0691302, 0.1165554, 1.66636, -0.0493372, 0.3097874, 1.613341, -0.2164888, -0.1700863, 1.734755, 0.0249635, -0.1762142, 1.545515, -0.2397588, -0.1357736, 1.776934, 0.07724191, -0.1486286, 1.561485
635580175428566604, 0, 0, 0, -0.08784194, -0.8086263, 1.99333, 0.03870003, -0.8340495, 1.849674, -0.218709, 0.05910267, 1.767596, 0.1141379, 0.01844679, 1.547365, -0.1231262, -0.8777606, 1.996113, -0.008846104, -0.8693579, 1.778404, -0.2418726, -0.1716001, 1.770508, 0.0639282, -0.1824146, 1.572098, -0.2397616, -0.2331203, 1.780315, 0.03910066, -0.2493037, 1.590515, -0.08936092, 0.484279, 1.556404, -0.1352932, -0.1430093, 1.735113, -0.05161711, -0.1482803, 1.664611, -0.107458, -0.4946609, 1.868988, -0.008745909, -0.5016868, 1.791391, -0.04259527, 0.3725302, 1.593341, -0.188113, 0.2848512, 1.719383, 0.05546594, 0.2463096, 1.534375, -0.09513022, -0.1481197, 1.728971, -0.06883277, 0.1165641, 1.666573, -0.04914422, 0.3098345, 1.613476, -0.2144845, -0.1783088, 1.737564, 0.02608574, -0.1740423, 1.546696, -0.2394366, -0.1383693, 1.777054, 0.07734999, -0.1485519, 1.56156
635580175428616651, 0, 0, 0, -0.08784194, -0.8086263, 1.99333, 0.03870003, -0.8340495, 1.849674, -0.218709, 0.05910267, 1.767596, 0.1141379, 0.01844679, 1.547365, -0.1231262, -0.8777606, 1.996113, -0.008846104, -0.8693579, 1.778404, -0.2418726, -0.1716001, 1.770508, 0.0639282, -0.1824146, 1.572098, -0.2397616, -0.2331203, 1.780315, 0.03910066, -0.2493037, 1.590515, -0.08936092, 0.484279, 1.556404, -0.1352932, -0.1430093, 1.735113, -0.05161711, -0.1482803, 1.664611, -0.107458, -0.4946609, 1.868988, -0.008745909, -0.5016868, 1.791391, -0.04259527, 0.3725302, 1.593341, -0.188113, 0.2848512, 1.719383, 0.05546594, 0.2463096, 1.534375, -0.09513022, -0.1481197, 1.728971, -0.06883277, 0.1165641, 1.666573, -0.04914422, 0.3098345, 1.613476, -0.2144845, -0.1783088, 1.737564, 0.02608574, -0.1740423, 1.546696, -0.2394366, -0.1383693, 1.777054, 0.07734999, -0.1485519, 1.56156
